Row ID,Order ID,product_id,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Sales,Quantity
1,CA-2016-152156,11425,11/8/16,11/11/16,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,261.96,2
2,CA-2016-152156,59853,11/8/16,11/11/16,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,731.94,3
3,CA-2016-138688,59678,6/12/16,6/16/16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,14.62,2
4,US-2015-108966,22614,10/11/15,10/18/15,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,957.5775,5
5,US-2015-108966,11422,10/11/15,10/18/15,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,22.368,2
6,CA-2014-115812,9825,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,48.86,7
7,CA-2014-115812,22650,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,7.28,4
8,CA-2014-115812,29758,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,907.152,6
9,CA-2014-115812,13456,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,18.504,3
10,CA-2014-115812,15016,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,114.9,5
11,CA-2014-115812,25575,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,1706.184,9
12,CA-2014-115812,27018,6/9/14,6/14/14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,911.424,4
13,CA-2017-114412,43405,4/15/17,4/20/17,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,15.552,3
14,CA-2016-161389,20152,12/5/16,12/10/16,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,407.976,3
15,US-2015-118983,46139,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,68.81,5
16,US-2015-118983,48694,11/22/15,11/26/15,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,2.544,3
17,CA-2014-105893,7965,11/11/14,11/18/14,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,665.88,6
