id,city,customerid,date,lastname,name,orderid,productid,quantity,region,returnamount,returnquantity,returnstatus,sales,state,zip,user_id
1,Henderson,12520,11/8/16,Gute,Claire,152156,100000,2,South,0,0,0,261.96,KY,42420,1
2,Henderson,12520,11/8/16,Gute,Claire,152157,100001,3,South,0,0,0,731.94,KY,42420,1
3,Los Angeles,13045,6/12/16,VanHuff,Darrin,138688,100002,2,West,0,0,0,14.62,CA,90036,1
4,Fort Lauderdale,20335,10/11/15,ODonnell,Sean,108966,100003,5,South,0,0,0,957.5775,FL,33311,1
5,Fort Lauderdale,20335,10/11/15,ODonnell,Sean,108970,100004,2,South,0,0,0,22.368,FL,33311,1
6,Los Angeles,11710,6/9/14,Hoffman,Brosina,115812,100005,7,West,0,0,0,48.86,CA,90032,1
7,Los Angeles,11710,6/9/14,Hoffman,Brosina,115818,100006,4,West,0,0,0,7.28,CA,90032,1
8,Los Angeles,11710,6/9/14,Hoffman,Brosina,115819,100007,6,West,0,0,0,907.152,CA,90032,1
9,Los Angeles,11710,6/9/14,Hoffman,Brosina,115820,100008,3,West,0,0,0,18.504,CA,90032,1
10,Los Angeles,11710,6/9/14,Hoffman,Brosina,115821,100009,5,West,0,0,0,114.9,CA,90032,1
11,Los Angeles,11710,6/9/14,Hoffman,Brosina,115822,100010,9,West,0,0,0,1706.184,CA,90032,1
12,Los Angeles,11710,6/9/14,Hoffman,Brosina,115823,100011,4,West,0,0,0,911.424,CA,90032,1
13,Concord,10480,4/15/17,Allen,Andrew,114412,100012,3,South,0,0,0,15.552,NC,28027,1
14,Seattle,15070,12/5/16,Maddox,Irene,161389,100013,3,West,0,0,0,407.976,WA,98103,1
15,Fort Worth,14815,11/22/15,Pawlan,Harold,118983,100014,5,Central,0,0,0,68.81,TX,76106,1
16,Fort Worth,14815,11/22/15,Pawlan,Harold,118998,100015,3,Central,0,0,0,2.544,TX,76106,1
17,Madison,19075,11/11/14,Kriz,Pete,105893,100016,6,Central,0,0,0,665.88,WI,53711,1
18,West Jordan,10270,5/13/14,Grove,Alejandro,167164,100017,2,West,0,0,0,55.5,UT,84084,1
19,San Francisco,21925,8/27/14,Donatelli,Zuschuss,143336,100018,2,West,0,0,0,8.56,CA,94109,1
20,San Francisco,21925,8/27/14,Donatelli,Zuschuss,143355,100019,3,West,0,0,0,213.48,CA,94109,6
21,San Francisco,21925,8/27/14,Donatelli,Zuschuss,143356,100020,4,West,0,0,0,22.72,CA,94109,6
22,Fremont,16585,12/9/16,Black,Ken,137330,100021,7,Central,0,0,0,19.46,NE,68025,6
23,Fremont,16585,12/9/16,Black,Ken,137352,100022,7,Central,0,0,0,60.34,NE,68025,6
24,Philadelphia,20065,7/16/17,Flanagan,Sandra,156909,100023,2,East,0,0,0,71.372,PA,19140,6
25,Orem,13870,9/25/15,Burns,Emily,106320,100024,3,West,0,0,0,1044.63,UT,84057,6
26,Los Angeles,13945,1/16/16,Hoffmann,Eric,121755,100025,2,West,0,0,0,11.648,CA,90049,6
27,Los Angeles,13945,1/16/16,Hoffmann,Eric,121781,100026,3,West,0,0,0,90.57,CA,90049,6
28,Philadelphia,21520,9/17/15,Blumstein,Tracy,150630,100027,7,East,0,0,0,3083.43,PA,19140,6
29,Philadelphia,21520,9/17/15,Blumstein,Tracy,150658,100028,2,East,0,0,0,9.618,PA,19140,6
30,Philadelphia,21520,9/17/15,Blumstein,Tracy,150659,100029,3,East,0,0,0,124.2,PA,19140,6
31,Philadelphia,21520,9/17/15,Blumstein,Tracy,150660,100030,2,East,0,0,0,3.264,PA,19140,6
32,Philadelphia,21520,9/17/15,Blumstein,Tracy,150661,100031,6,East,0,0,0,86.304,PA,19140,6
33,Philadelphia,21520,9/17/15,Blumstein,Tracy,150662,100032,6,East,0,0,0,6.858,PA,19140,6
34,Philadelphia,21520,9/17/15,Blumstein,Tracy,150663,100033,2,East,0,0,0,15.76,PA,19140,6
35,Houston,17560,10/19/17,Abelman,Matt,107727,100034,3,Central,0,0,0,29.472,TX,77095,6
36,Richardson,14485,12/8/16,Hale,Gene,117590,100035,7,Central,0,0,0,1097.544,TX,75080,6
37,Richardson,14485,12/8/16,Hale,Gene,117626,100036,5,Central,0,0,0,190.92,TX,75080,6
38,Houston,20710,12/27/15,Nguyen,Steve,117415,100037,9,Central,0,0,0,113.328,TX,77041,6
39,Houston,20710,12/27/15,Nguyen,Steve,117453,100038,3,Central,0,0,0,532.3992,TX,77041,6
40,Houston,20710,12/27/15,Nguyen,Steve,117454,100039,3,Central,0,0,0,212.058,TX,77041,6
41,Houston,20710,12/27/15,Nguyen,Steve,117455,100040,4,Central,0,0,0,371.168,TX,77041,6
42,Naperville,16930,9/10/17,Cazamias,Linda,120999,100041,4,Central,0,0,0,147.168,IL,60540,6
43,Los Angeles,19885,7/17/16,Ausman,Ruben,101343,100042,2,West,0,0,0,77.88,CA,90049,6
44,Melbourne,14080,9/19/17,Smith,Erin,139619,100043,2,South,0,0,0,95.616,FL,32935,6
45,Eagan,18715,3/11/16,Nelson,Odella,118255,100044,2,Central,0,0,0,45.98,MN,55122,6
46,Eagan,18715,3/11/16,Nelson,Odella,118300,100045,2,Central,0,0,0,17.46,MN,55122,6
